investorid,investorname,companyid
982,Plug and Play Ventures,345
983,Valor Capital Group,345
984,DST Global,345
985,General Atlantic,346
986,SoftBank Group,347
987,SAIF Partners India,347
988,Valiant Capital Partners,347
989,Foundation Capital,348
990,Institutional Venture Partners,348
991,General Catalyst,348
992,Accel,349
993,Silversmith Capital Partners,349
994,capitalG,349
995,VY Capital,350
996,Accel,350
997,Elevation Capital,350
998,ICONIQ Growth,351
999,Bain Capital Ventures,351
1000,Summit Partners,351
1001,Lightspeed Venture Partners,352
1002,Sapphire Ventures,352
1003,Kleiner Perkins Caufield & Byers,352
1004,GSR Ventures,353
1005,Sapphire Ventures,353
1006,Streamlined Ventures,353
1007,Tencent Holdings,354
1008,Walden Venture Capital,354
1009,Global Catalyst Partnera,354
1010,Accel,355
1011,Passion Capital,355
1012,Balderton Capital,355
1013,L Capital Partners,356
1014,RRE Ventures,357
1015,Tiger Global,357
1016,August Capital,357
1017,Accel Partners,358
1018,Index Ventures,358
1019,Insight Venture Partners,358
1020,Zheshang Venture Capital,359
1021,GP Capital,359
1022,Western Capital Management,359
1023,Y Combinator,360
1024,Matrix Partners,360
1025,Benchmark,360
1026,Andreessen Horowitz,361
1027,SoftBank Group,361
1028,Temasek Holdings,361
1029,Toyota Motor Corporation,362
1030,Mizuho Financial Group,362
1031,FANUC,362
1032,Pitango Venture Capital,363
1033,DFJ Growth Fund,363
1034,Foundry Group,363
1035,Sequoia Capital China,364
1036,China Construction Bank,364
1037,Bank of China,364
1038,Insight Venture Partners,365
1039,TPG Growth,365
1040,Sound Ventures,365
1041,Insight Partners,366
1042,TPG Alternative & Renewable Technologies,366
1043,Ireland Strategic Investment Fund,366
1044,Qiming Venture Partners,367
1045,Capital Today,367
1046,General Atlantic,367
1047,Nexus Venture Partners,368
1048,Tenaya Capital,368
1049,Sequoia Capital,368
1050,GGV Capital,369
1051,IDG Capital,369
1052,Linear Venture,369
1053,Magma Venture Partners,370
1054,Pitango Venture Capital,370
1055,Qumra Capital,370
1056,Bertelsmann Asia Investments,371
1057,GGV Capital,371
1058,Morningside Venture Capital,371
1059,Viola Ventures,372
1060,Dell Technologies Capital,372
1061,Bain Capital Ventures,372
1062,Matrix Partners China,373
1063,Eastern Bell Capital,373
1064,Hongtai Capital Holdings,373
1065,Blackrock,374
1066,capitalG,374
1067,World Lab Innovation,374
1068,Caffeinated Capital,375
1069,Obvious Ventures,375
1070,Venrock,375
1071,Blackstone,376
1072,Jerusalem Venture Partners,377
1073,Israel Growth Partners,377
1074,Insight Partners,377
1075,Tiantu Capital,378
1076,CMB International Capital,378
1077,Vision Knight Capital,378
1078,Qiming Venture Partners,379
